Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/30 18:05:42,15,124.76,130.24
2017/3/30 18:05:58,14,124.98,130.3
2017/3/30 18:06:15,13,128.8,130.34
2017/3/30 18:06:31,14,123.22,128.43
2017/3/30 18:06:47,16,124.55,130.3
2017/3/30 18:07:04,16,129.25,130.38
2017/3/30 18:07:21,17,125.27,130.38
2017/3/30 18:07:39,15,129.15,130.49
2017/3/30 18:07:56,16,125.62,130.64
2017/3/30 18:08:14,12,129.85,130.81
2017/3/30 18:08:30,17,129.77,131.01
2017/3/30 18:08:47,13,130.13,131.02
2017/3/30 18:09:03,12,124.26,129.34
2017/3/30 18:09:20,14,125.45,131.56
2017/3/30 18:09:36,13,125.96,131.68
2017/3/30 18:09:53,13,132.28,134
2017/3/30 18:10:09,16,126.53,131.71
2017/3/30 18:10:26,13,121.42,131.55
2017/3/30 18:10:42,14,126.51,131.92
2017/3/30 18:10:58,14,126.91,131.98
2017/3/30 18:11:15,14,127.38,132.26
2017/3/30 18:11:32,15,130.39,131.53
2017/3/30 18:11:49,17,126.28,131.52
2017/3/30 18:12:07,15,122.54,138.85
2017/3/30 18:12:22,16,131.47,132.36
2017/3/30 18:12:39,15,127.55,132.37
2017/3/30 18:12:55,15,127.45,132.38
2017/3/30 18:13:12,15,131.18,131.74
2017/3/30 18:13:28,13,127.94,132.47
2017/3/30 18:13:45,17,121.84,132.42
2017/3/30 18:14:00,14,125.74,131.42
2017/3/30 18:14:17,14,126.67,132.76
2017/3/30 18:14:33,15,127.05,132.76
2017/3/30 18:14:50,13,131.17,132.21
2017/3/30 18:15:07,13,119.71,139.89
2017/3/30 18:15:23,15,128.71,133.54
2017/3/30 18:15:39,12,128.97,133.56
2017/3/30 18:15:56,13,122.58,140.5
2017/3/30 18:16:12,15,129.4,133.85
2017/3/30 18:16:29,14,120.45,133.89
2017/3/30 18:16:44,15,133.38,134.09
2017/3/30 18:17:01,12,129.7,134.09
2017/3/30 18:17:17,13,129.41,134.09
2017/3/30 18:17:34,15,129.97,134.32
2017/3/30 18:17:51,15,134,134.31
2017/3/30 18:18:07,15,129.68,134.31
2017/3/30 18:18:24,14,130.28,134.53
2017/3/30 18:18:41,12,134.52,134.76
2017/3/30 18:18:58,14,130.2,134.75
2017/3/30 18:19:14,16,130.38,135.08
2017/3/30 18:19:31,15,130.47,135.07
2017/3/30 18:19:48,15,135.06,135.23
2017/3/30 18:20:06,12,131.28,135.4
2017/3/30 18:20:23,14,124.49,142.01
2017/3/30 18:20:38,14,131.35,135.45
2017/3/30 18:20:55,16,135.46,135.5
2017/3/30 18:21:12,12,131.14,135.5
2017/3/30 18:21:30,17,131.47,135.5
2017/3/30 18:21:46,16,129.2,142.34
2017/3/30 18:22:01,13,131.42,135.7
2017/3/30 18:22:19,15,131.72,135.68
2017/3/30 18:22:35,17,135.88,135.68
2017/3/30 18:22:52,17,131.6,135.68
2017/3/30 18:23:09,17,125.4,142.38
2017/3/30 18:23:24,15,135.07,135.11
2017/3/30 18:23:41,17,131.21,135.84
2017/3/30 18:23:58,15,118.86,131.89
2017/3/30 18:24:13,15,131.04,140.47
2017/3/30 18:24:31,13,126.39,141.29
2017/3/30 18:24:46,17,131.91,140.47
2017/3/30 18:25:03,16,136.04,140.78
2017/3/30 18:25:19,16,136.75,141.16
2017/3/30 18:25:36,16,136.78,141.19
2017/3/30 18:25:53,15,125.97,147.79
2017/3/30 18:26:08,15,132.78,141.15
2017/3/30 18:26:25,17,132.79,141.14
2017/3/30 18:26:41,14,127.48,140.96
2017/3/30 18:26:57,14,137.25,141.22
2017/3/30 18:27:14,16,128.5,147.8
2017/3/30 18:27:30,16,137.67,141.61
2017/3/30 18:27:46,15,133.68,141.63
2017/3/30 18:28:05,16,133.43,141.65
2017/3/30 18:28:21,14,137.65,141.6
2017/3/30 18:28:38,14,133.67,141.58
2017/3/30 18:28:54,15,133.56,141.6
2017/3/30 18:29:10,15,137.74,141.6
2017/3/30 18:29:26,14,133.92,141.79
2017/3/30 18:29:43,13,124.79,141.95
2017/3/30 18:29:59,15,131.64,139.59
2017/3/30 18:30:16,12,137.39,141.88
2017/3/30 18:30:32,15,133.25,141.37
2017/3/30 18:30:49,14,136.92,140.58
2017/3/30 18:31:05,17,133.6,141.89
2017/3/30 18:31:22,15,134.12,141.97
2017/3/30 18:31:38,16,132.44,140.54
2017/3/30 18:31:55,14,137.14,142.3
2017/3/30 18:32:11,12,133.76,142.41
2017/3/30 18:32:27,13,133.92,142.54
2017/3/30 18:32:44,17,138.38,142.67
2017/3/30 18:33:00,18,134.77,142.74
2017/3/30 18:33:17,17,134.89,143.15
2017/3/30 18:33:33,15,135.19,143.05
2017/3/30 18:33:49,14,139.26,143.2
2017/3/30 18:34:06,13,133.18,141.91
2017/3/30 18:34:24,14,134.44,143.34
2017/3/30 18:34:41,15,128.01,149.96
2017/3/30 18:34:57,16,138.95,143.43
2017/3/30 18:35:14,12,135.13,143.13
2017/3/30 18:35:32,14,135.22,143.15
2017/3/30 18:35:49,14,130.11,143.3
2017/3/30 18:36:05,11,136.01,143.65
2017/3/30 18:36:22,17,129.24,150.34
2017/3/30 18:36:38,16,136.47,144.16
2017/3/30 18:36:54,13,140.53,144.16
2017/3/30 18:37:11,12,140.4,144.3
2017/3/30 18:37:27,14,140.87,144.9
2017/3/30 18:37:45,14,134.38,151.55
2017/3/30 18:38:00,16,140.51,144.86
2017/3/30 18:38:17,15,130.62,151.98
2017/3/30 18:38:33,14,141.38,145.35
2017/3/30 18:38:50,15,137.08,145.35
2017/3/30 18:39:06,17,141.7,145.68
2017/3/30 18:39:23,17,128.32,145.6
2017/3/30 18:39:39,13,136.17,143.83
2017/3/30 18:39:55,14,142.12,145.71
2017/3/30 18:40:12,16,141.9,145.75
2017/3/30 18:40:28,13,142.36,145.91
2017/3/30 18:40:45,15,142.27,146.4
2017/3/30 18:41:01,17,138.76,146.57
2017/3/30 18:41:18,14,138.75,146.55
2017/3/30 18:41:35,19,144.92,149.1
2017/3/30 18:41:51,12,143.06,146.85
2017/3/30 18:42:09,15,143.07,146.87
2017/3/30 18:42:26,13,138.83,146.94
2017/3/30 18:42:42,14,139.32,147.12
2017/3/30 18:42:59,14,130.2,147.03
2017/3/30 18:43:15,15,145.5,149.61
2017/3/30 18:43:31,14,143.76,147.55
2017/3/30 18:43:48,14,139.79,147.6
2017/3/30 18:44:04,14,139.59,147.67
2017/3/30 18:44:21,17,141.6,145.54
2017/3/30 18:44:38,19,132.31,154.22
2017/3/30 18:44:53,14,138.95,147.12
2017/3/30 18:45:10,14,143.81,147.88
2017/3/30 18:45:27,14,143.53,147.9
2017/3/30 18:45:43,16,140.02,147.9
2017/3/30 18:46:01,13,131.85,154.96
2017/3/30 18:46:16,12,143.94,148.37
2017/3/30 18:46:33,14,144.46,148.57
2017/3/30 18:46:50,12,144.48,148.57
2017/3/30 18:47:06,14,140.18,148.58
2017/3/30 18:47:24,13,140.62,148.7
2017/3/30 18:47:41,12,137.6,155.36
2017/3/30 18:47:57,16,140.86,148.93
2017/3/30 18:48:14,15,144.96,149.02
2017/3/30 18:48:30,18,140.86,149.23
2017/3/30 18:48:47,13,132.33,155.76
2017/3/30 18:49:02,13,141.22,149.23
2017/3/30 18:49:19,14,147.23,151.56
2017/3/30 18:49:36,14,136.43,149.47
2017/3/30 18:49:52,15,145.68,149.72
2017/3/30 18:50:08,15,145.47,149.79
2017/3/30 18:50:24,12,141.82,149.8
2017/3/30 18:50:41,15,141.77,150.04
2017/3/30 18:50:58,15,142.08,150.08
2017/3/30 18:51:15,14,146.15,150.13
2017/3/30 18:51:31,15,141.85,150.14
2017/3/30 18:51:50,13,148.77,152.76
2017/3/30 18:52:06,13,146.49,150.49
2017/3/30 18:52:23,15,146.22,150.53
2017/3/30 18:52:40,16,146.69,150.68
2017/3/30 18:52:57,15,146.72,150.7
2017/3/30 18:53:14,14,146.52,150.79
2017/3/30 18:53:30,15,142.87,150.83
2017/3/30 18:53:47,16,146.7,150.93
2017/3/30 18:54:05,13,133.99,150.97
2017/3/30 18:54:21,12,147.16,151.03
2017/3/30 18:54:38,16,142.85,151.02
2017/3/30 18:54:54,14,143.32,151.13
2017/3/30 18:55:11,14,141.04,149.05
2017/3/30 18:55:29,13,145.15,150.88
2017/3/30 18:55:45,13,146.7,150.89
2017/3/30 18:56:02,18,142.98,151.4
2017/3/30 18:56:20,18,143.35,151.67
2017/3/30 18:56:36,16,148.08,151.88
2017/3/30 18:56:53,16,148.05,151.83
2017/3/30 18:57:11,17,147.78,151.82
2017/3/30 18:57:28,14,144.41,152.09
