Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
Create Film[15],,,5.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report82.html
Update Film[12],,,1.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report83.html
Update Film[13],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report84.html
Update Film[14],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report85.html
Update Film[15],,,1.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report86.html
PUMA_examreservation_Transaction[5],,,1.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report87.html
Create ExamReservation[13],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report88.html
PUMA_PaperReport_Transaction[6],,,6.9,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report89.html
Create Paper report[16],,,1.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report90.html
Create Paper report[17],,,1.6,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report91.html
Create Paper report[18],,,1.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report92.html
Update Paper report[16],,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report93.html
Update Paper report[17],,,0.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report94.html
Update Paper report[18],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report95.html
PUMA_Film_Transaction[6],,,8.1,0.8,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report96.html
Create Film[16],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report97.html
Create Film[17],,,1.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report98.html
Create Film[18],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report99.html
Create Film[19],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report100.html
Update Film[16],,,0.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report101.html
Update Film[17],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report102.html
Update Film[18],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report103.html
Update Film[19],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report104.html
PUMA_examreservation_Transaction[6],,,1.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report105.html
Create ExamReservation[14],,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report106.html
Create ExamReservation[15],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report107.html
PUMA_PaperReport_Transaction[7],,,7.5,2.4,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report108.html
Create Paper report[19],,,2.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report109.html
Create Paper report[20],,,1.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report110.html
Create Paper report[21],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report111.html
Create Paper report[22],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report112.html
